route,navaid,latitude,longitude,has_one_occurrence,node,node_lat,node_long
R460,ALI,27.829306,78.178333,False,300,27.829306,78.178333
R460,PAVRU,27.333611,79.481667,True,73,27.574166333333334,79.597593
R460,LKN,26.758556,80.894417,False,43,26.758556,80.894417
R460,BBN,25.454208,82.859506,False,82,25.454208,82.859506
R460,GGC,24.741861,84.943897,False,63,24.741861,84.943897
R460,TEPAL,23.811667,86.434167,False,45,23.810926,86.39194466666667
R460,OPESU,23.480278,87.029167,False,103,23.6031056,87.16406140000001
R460,CEA,22.675972,88.448139,False,39,22.675972,88.44813900000001
R461,BBB,19.086169,72.874703,False,6,19.086169,72.874703
R461,OKILA,16.592778,73.107778,False,230,16.5381668,73.13555579999999
R461,GGO,15.378325,73.811303,False,13,15.378325,73.811303
R461,PAMTO,14.861306,74.507806,False,298,14.920898333333334,74.54513933333334
R461,GUNIM,14.085556,75.535833,False,142,14.085556,75.535833
R461,PEXEG,13.070833,76.041667,False,208,13.070832999999999,76.041667
R461,PAMLU,12.181142,76.481236,False,256,12.2053625,76.56658999999999
R461,CCB,11.033583,77.048306,False,128,10.996919444444444,77.00519177777778
R461,MDI,9.831083,78.089028,False,55,9.831083,78.089028
R462,KE,25.520092,69.770906,False,125,25.520092,69.770906
R462,RAMSA,25.333889,70.739722,True,56,25.259444333333334,70.779722
R462,UUD,24.612842,73.894111,False,4,24.612842,73.894111
R462,NIKOT,25.881111,75.44,False,185,25.909722000000002,75.45083333333334
R462,GUDUM,25.966944,75.4725,False,185,25.909722000000002,75.45083333333334
R462,JJP,26.825889,75.838389,False,152,26.825889,75.838389
R462,IGOLU,27.523056,76.313889,False,359,27.523056000000004,76.313889
R462,REBON,27.800278,76.5225,False,127,27.800278,76.5225
R462,DPN,28.566917,77.093528,False,26,28.566916999999997,77.093528
R472,CEA,22.675972,88.448139,False,39,22.675972,88.44813900000001
R472,AGODA,24.322222,88.601667,False,0,24.410945636363635,88.60022245454546
R472,RAJ,24.439217,88.615028,False,0,24.410945636363635,88.60022245454546
R472,ATOGA,25.266667,90.02,False,221,25.266667,90.02
R472,GGT,26.134131,91.597914,False,64,26.134131,91.597914
R472,BIPUL,25.169639,91.815483,True,187,25.070007,91.743833
R472,SYT,24.96325,91.862008,False,187,25.070007,91.743833
R472,PAPLI,24.372861,91.518228,True,78,24.154839799999998,91.80518380000001
R472,DOXAG,23.973536,91.287706,True,158,23.899769125,91.245460125
R472,AAT,23.889231,91.239425,False,158,23.899769125,91.245460125
R581,CEA,22.675972,88.448139,False,39,22.675972,88.44813900000001
R581,DUMKA,24.183889,87.352778,False,223,24.275555750000002,87.3014585
R581,MONDA,25.350556,86.437778,False,255,25.405833666666666,86.530602
R581,UXAGA,25.584722,86.2525,False,81,25.6843888,86.3155
R581,IPLAS,26.328056,85.653611,False,276,26.328056,85.653611
R581,GAURA,26.746111,85.314444,False,15,26.6975,85.214444
R581,ROMEO,27.053333,85.068889,False,389,27.103264,85.00715262499999
R581,SMR,27.164167,84.982222,False,389,27.103264,85.00715262499999
R594,DPN,28.566917,77.093528,False,26,28.566916999999997,77.093528
R594,SSB,28.393333,77.708056,False,287,28.393333,77.708056
R594,JAL,27.694444,79.655556,False,73,27.574166333333334,79.597593
R594,LKN,26.758556,80.894417,False,43,26.758556,80.894417
R598,CEA,22.675972,88.448139,False,39,22.675972,88.44813900000001
R598,AGODA,24.322222,88.601667,False,0,24.410945636363635,88.60022245454546
R598,RAJ,24.439217,88.615028,False,0,24.410945636363635,88.60022245454546
R598,MIGOP,25.205556,88.785556,True,194,25.281106000000005,88.921374
R598,VINAD,25.370556,88.822222,True,194,25.281106000000005,88.921374
R598,SDP,25.764431,88.909425,False,322,25.764431,88.909425
R598,VANTU,26.091667,89.247222,True,67,26.091667,89.247222
R598,SUDIV,26.332222,89.473056,True,289,26.4965276,89.5850276
R598,PAGDA,26.472222,89.568333,False,289,26.4965276,89.5850276
R598,BOGOP,26.73375,89.747083,True,289,26.4965276,89.5850276
R598,PRO,27.300833,89.505556,False,99,27.264960000000002,89.50698457142857
T1,BPL,23.28275,77.335861,False,184,23.28275,77.335861
T1,GURVI,22.567222,79.431944,False,164,22.5139998,79.5670552
T1,ODUMI,22.220556,80.421944,True,17,22.049166999999997,80.4626385
T1,OPONI,21.784167,81.64,False,102,21.79900814285714,81.49920657142857
T1,GUTNO,21.680556,82.0,False,286,21.84722233333333,82.036389
T1,OGUNA,21.484444,82.6725,False,22,21.484444,82.6725
T1,VIBAL,21.054444,83.783333,False,320,21.054444,83.783333
T1,BBS,20.243667,85.81325,False,228,20.243667,85.81325
T3,TTR,10.768667,78.724806,False,224,10.768667,78.724806
T3,GOKUL,10.735556,79.696111,False,132,10.730278,79.894722
T3,BEBOK,10.725,80.093333,False,132,10.730278,79.894722
T5,MML,12.951639,74.885444,False,150,12.951639,74.885444
T5,PEXEG,13.070833,76.041667,False,208,13.070832999999999,76.041667
T5,BIA,13.206833,77.732194,False,3,13.194590952380953,77.7297561904762
T5,LEKAP,12.084722,79.598611,False,374,12.084722,79.598611
V1,KARKU,20.974444,69.110833,False,162,20.974444,69.110833
V1,BBB,19.086169,72.874703,False,6,19.086169,72.874703
V10,CHI,28.35,76.658889,False,243,28.386632000000002,76.655208375
V10,ALI,27.829306,78.178333,False,300,27.829306,78.178333
V11,BBZ,16.522,80.7928,False,110,16.522,80.79280000000001
V11,GUNRI,15.605556,80.859722,False,205,15.605556,80.859722
V30,IID,22.710611,75.7795,False,52,22.692499833333333,75.72800933333333
V30,EPDAD,24.641667,75.791944,False,246,24.641667,75.791944
V33,CLC,11.134917,75.955,False,217,11.149589166666667,75.92378716666666
V33,MUDIT,11.853056,76.096111,False,138,11.853056,76.096111
V34,LUNTA,11.383333,76.324444,False,50,11.383333,76.324444
V34,CCB,11.033583,77.048306,False,128,10.996919444444444,77.00519177777778
V35,MML,12.951639,74.885444,False,150,12.951639,74.885444
V35,MUDIT,11.853056,76.096111,False,138,11.853056,76.096111
V38,TEGIG,21.5025,80.593611,False,325,21.4367224,80.6661666
V38,RRP,21.180925,81.743911,False,177,21.20341733333333,81.76508975
V39,RUXAL,20.887222,80.649167,False,213,20.887222,80.649167
V39,RRP,21.180925,81.743911,False,177,21.20341733333333,81.76508975
V4,HIA,17.227806,78.405806,False,41,17.227806,78.405806
V4,SUREK,16.037778,79.529167,False,157,16.019166666666667,79.41129666666667
V4,BOPRI,15.576644,79.947992,True,351,15.576644,79.947992
V4,MMV,12.987667,80.155028,False,76,12.987667,80.155028
V41,JJS,22.813189,86.173931,False,105,22.813189000000005,86.173931
V41,OPESU,23.480278,87.029167,False,103,23.6031056,87.16406140000001
